Andre Russell,Ben Stokes,Chris Morris,Dwayne Bravo,Imran Tahir,Jofra Archer,Kagiso Rabada,Keemo Paul,Lasith Malinga,Moeen Ali,Mohammad Nabi,Rashid Khan,Sam Curran,Sunil Narine,Trent Boult
6,14,8,9,1,7,2,13,4,10,5,3,12,11,15
5,14,8,9,1,7,2,13,4,10,6,3,12,11,15
6,14,7,10,1,8,2,13,3,11,5,4,9,12,15
6,14,8,9,1,7,2,13,4,10,5,3,11,12,15
6,14,10,9,1,7,2,13,3,12,5,4,8,11,15
6,14,8,10,1,9,2,13,3,12,5,4,7,11,15
6,14,9,11,1,8,2,13,3,10,5,4,7,12,15
6,14,9,8,1,7,2,13,4,12,5,3,10,11,15
6,14,8,9,1,7,2,13,4,10,5,3,12,11,15
6,14,8,10,1,7,2,13,3,11,5,4,9,12,15
6,14,8,10,1,7,2,13,3,12,5,4,9,11,15
6,14,8,10,1,7,2,13,3,11,5,4,9,12,15
6,14,8,9,1,7,2,13,4,11,5,3,10,12,15
7,14,10,9,1,8,2,13,3,12,5,4,6,11,15
6,14,8,9,1,7,2,13,4,11,5,3,10,12,15
6,14,9,10,1,8,2,13,3,12,5,4,7,11,15
6,14,9,10,1,7,2,13,3,12,5,4,8,11,15
6,14,8,9,1,7,2,13,4,10,5,3,12,11,15
6,14,8,9,1,7,2,13,4,10,5,3,12,11,15
6,14,8,9,1,7,2,13,4,10,5,3,12,11,15
6,14,9,10,1,7,2,13,3,12,5,4,8,11,15
6,14,8,9,1,7,2,13,4,10,5,3,12,11,15
6,14,10,9,1,7,2,13,3,11,5,4,8,12,15
6,14,8,10,1,7,2,13,3,11,5,4,9,12,15
6,14,9,10,1,8,2,13,3,11,5,4,7,12,15
6,14,9,10,1,8,2,13,3,12,5,4,7,11,15
6,14,9,11,1,7,2,13,3,10,5,4,8,12,15
6,14,9,10,1,7,2,13,3,12,5,4,8,11,15
6,14,8,9,1,7,2,13,4,12,5,3,10,11,15
6,14,8,10,1,7,2,13,4,9,5,3,11,12,15
7,14,9,10,1,8,2,13,3,12,5,4,6,11,15
6,14,9,8,1,7,2,13,4,12,5,3,11,10,15
6,14,8,10,1,7,2,13,4,9,5,3,11,12,15
6,14,8,9,1,7,2,13,4,12,5,3,10,11,15
6,14,9,10,1,7,2,13,3,12,5,4,8,11,15
6,14,8,9,1,7,2,13,4,11,5,3,10,12,15
6,14,10,9,1,8,2,13,3,12,5,4,7,11,15
6,14,8,10,1,7,2,13,3,12,5,4,9,11,15
6,14,9,8,1,7,2,13,4,10,5,3,12,11,15
5,14,8,9,1,7,2,13,4,11,6,3,12,10,15
6,14,9,10,1,7,2,13,3,11,5,4,8,12,15
6,14,9,10,1,8,2,13,3,12,5,4,7,11,15
6,14,9,8,1,7,2,13,4,10,5,3,12,11,15
5,14,8,9,1,7,2,13,4,10,6,3,12,11,15
6,14,8,10,1,9,2,13,3,11,5,4,7,12,15
6,14,9,8,1,7,2,13,4,12,5,3,11,10,15
6,14,9,10,1,8,2,13,3,12,5,4,7,11,15
6,14,8,9,1,7,2,13,4,12,5,3,10,11,15
5,14,8,9,1,7,2,13,4,11,6,3,12,10,15
6,14,8,9,1,7,2,13,4,12,5,3,10,11,15
6,14,8,10,1,7,2,13,4,9,5,3,11,12,15
6,14,9,10,1,7,2,13,3,11,5,4,8,12,15
7,14,9,10,1,8,2,13,3,11,5,4,6,12,15
6,14,9,10,1,8,2,13,3,11,5,4,7,12,15
7,14,8,10,1,6,2,13,4,12,5,3,9,11,15
6,14,9,10,1,7,2,13,3,11,5,4,8,12,15
5,14,8,9,1,7,2,13,4,12,6,3,10,11,15
6,14,8,9,1,7,2,13,4,11,5,3,10,12,15
7,14,8,11,1,6,2,13,4,10,5,3,9,12,15
6,14,9,10,1,8,2,13,3,12,5,4,7,11,15
6,14,8,10,1,7,2,13,4,9,5,3,12,11,15
6,14,9,10,1,8,2,13,3,12,5,4,7,11,15
6,14,8,11,1,7,2,13,4,10,5,3,9,12,15
7,14,8,9,1,6,2,13,4,12,5,3,11,10,15
6,14,7,10,1,8,2,13,3,12,5,4,9,11,15
6,14,9,10,1,7,2,13,3,11,5,4,8,12,15
6,14,8,9,1,7,2,13,4,10,5,3,12,11,15
6,14,8,9,1,7,2,13,4,11,5,3,10,12,15
6,14,9,10,1,8,2,13,3,11,5,4,7,12,15
6,14,9,8,1,7,2,13,4,12,5,3,11,10,15
6,14,10,9,1,7,2,13,4,11,5,3,8,12,15
6,14,8,9,1,7,2,13,4,12,5,3,10,11,15
6,14,8,9,1,7,2,13,4,10,5,3,12,11,15
6,14,8,9,1,7,2,13,4,12,5,3,10,11,15
5,14,8,9,1,7,2,13,4,12,6,3,11,10,15
6,14,9,10,1,8,2,13,3,12,5,4,7,11,15
6,14,8,10,1,7,2,13,3,11,5,4,9,12,15
5,14,9,8,1,6,2,13,4,12,7,3,11,10,15
6,14,8,10,1,9,2,13,3,11,5,4,7,12,15
6,14,9,8,1,7,2,13,4,10,5,3,11,12,15
7,14,9,10,1,6,2,13,3,11,5,4,8,12,15
6,14,9,10,1,7,2,13,3,12,5,4,8,11,15
6,14,10,9,1,7,2,13,3,11,5,4,8,12,15
6,14,8,9,1,7,2,13,4,11,5,3,12,10,15
6,14,8,9,1,7,2,13,4,10,5,3,12,11,15
5,14,8,9,1,7,2,13,4,11,6,3,12,10,15
7,14,8,9,1,6,2,13,4,12,5,3,11,10,15
6,14,9,10,1,8,2,13,3,11,5,4,7,12,15
5,14,8,9,1,7,2,13,4,12,6,3,10,11,15
6,14,10,9,1,8,2,13,3,12,5,4,7,11,15
6,14,10,9,1,8,2,13,3,11,5,4,7,12,15
6,14,8,9,1,7,2,13,4,12,5,3,10,11,15
6,14,8,9,1,7,2,13,4,10,5,3,11,12,15
6,14,9,10,1,8,2,13,3,12,5,4,7,11,15
6,14,7,10,1,8,2,13,3,12,5,4,9,11,15
6,14,8,9,1,7,2,13,4,10,5,3,11,12,15
6,14,8,10,1,7,2,13,4,11,5,3,9,12,15
6,14,8,9,1,7,2,13,4,10,5,3,11,12,15
6,14,8,10,1,7,2,13,4,9,5,3,11,12,15
6,14,9,10,1,7,2,13,3,12,5,4,8,11,15
6,14,9,10,1,7,2,13,3,12,5,4,8,11,15
6,14,8,10,1,7,2,13,4,12,5,3,9,11,15
6,14,8,9,1,7,2,13,4,11,5,3,10,12,15
6,14,8,11,1,7,2,13,4,9,5,3,10,12,15
6,14,8,9,1,7,2,13,4,11,5,3,10,12,15
6,14,9,11,1,7,2,13,3,10,5,4,8,12,15
6,14,8,10,1,7,2,13,3,12,5,4,9,11,15
6,14,9,10,1,7,2,13,3,11,5,4,8,12,15
6,14,10,9,1,8,2,13,3,12,5,4,7,11,15
6,14,8,10,1,9,2,13,3,12,5,4,7,11,15
6,14,8,9,1,7,2,13,4,12,5,3,10,11,15
6,14,9,10,1,7,2,13,3,11,5,4,8,12,15
6,14,9,10,1,8,2,13,3,11,5,4,7,12,15
6,14,9,8,1,7,2,13,4,10,5,3,11,12,15
6,14,8,9,1,7,2,13,4,10,5,3,11,12,15
5,14,8,9,1,7,2,13,4,10,6,3,12,11,15
6,14,8,10,1,7,2,13,4,9,5,3,11,12,15
6,14,9,10,1,8,2,13,3,12,5,4,7,11,15
7,14,8,9,1,6,2,13,4,12,5,3,10,11,15
6,14,10,9,1,7,2,13,3,12,5,4,8,11,15
6,14,10,9,1,8,2,13,3,12,5,4,7,11,15
6,14,9,8,1,7,2,13,4,10,5,3,12,11,15
6,14,8,9,1,7,2,13,4,12,5,3,10,11,15
6,14,8,9,1,7,2,13,4,10,5,3,12,11,15
6,14,7,9,1,8,2,13,4,12,5,3,10,11,15
5,14,9,8,1,7,2,13,4,11,6,3,12,10,15
6,14,9,8,1,7,2,13,4,12,5,3,10,11,15
6,14,9,10,1,8,2,13,3,11,5,4,7,12,15
7,14,9,10,1,8,2,13,3,12,5,4,6,11,15
7,14,9,8,1,6,2,13,4,10,5,3,12,11,15
6,14,8,9,1,7,2,13,4,12,5,3,10,11,15
5,14,8,9,1,7,2,13,4,10,6,3,12,11,15
6,14,9,10,1,7,2,13,3,11,5,4,8,12,15
6,14,9,10,1,7,2,13,3,12,5,4,8,11,15
6,14,8,9,1,7,2,13,4,11,5,3,10,12,15
5,14,7,9,1,8,2,13,4,11,6,3,10,12,15
6,14,9,10,1,8,2,13,3,11,5,4,7,12,15
6,14,8,10,1,7,2,13,4,12,5,3,9,11,15
7,14,9,8,1,6,2,13,4,12,5,3,10,11,15
6,14,8,9,1,7,2,13,4,10,5,3,11,12,15
6,14,8,10,1,7,2,13,3,11,5,4,9,12,15
6,14,8,9,1,7,2,13,4,12,5,3,11,10,15
6,14,9,10,1,7,2,13,4,11,5,3,8,12,15
6,14,8,10,1,7,2,13,4,9,5,3,11,12,15
6,14,7,10,1,8,2,13,3,11,5,4,9,12,15
6,14,9,10,1,7,2,13,3,12,5,4,8,11,15
6,14,9,8,1,7,2,13,4,12,5,3,10,11,15
6,14,9,10,1,8,2,13,3,12,5,4,7,11,15
6,14,8,10,1,7,2,13,4,11,5,3,9,12,15
6,14,7,10,1,8,2,13,3,11,5,4,9,12,15
8,14,9,10,1,7,2,13,3,11,5,4,6,12,15
6,14,9,11,1,7,2,13,3,10,5,4,8,12,15
6,14,8,9,1,7,2,13,4,10,5,3,11,12,15
6,14,8,9,1,7,2,13,4,12,5,3,10,11,15
6,14,8,10,1,9,2,13,3,11,5,4,7,12,15
6,14,8,10,1,7,2,13,4,9,5,3,11,12,15
6,14,10,9,1,8,2,13,3,12,5,4,7,11,15
6,14,8,9,1,7,2,13,4,11,5,3,10,12,15
6,14,8,9,1,7,2,13,4,12,5,3,10,11,15
5,14,9,8,1,7,2,13,4,11,6,3,12,10,15
7,14,8,10,1,9,2,13,3,12,5,4,6,11,15
6,14,8,9,1,7,2,13,4,10,5,3,11,12,15
6,14,8,10,1,7,2,13,3,11,5,4,9,12,15
6,14,9,11,1,8,2,13,3,10,5,4,7,12,15
7,14,9,10,1,6,2,13,4,12,5,3,8,11,15
6,14,9,8,1,7,2,13,4,10,5,3,11,12,15
5,14,8,9,1,7,2,13,4,11,6,3,12,10,15
6,14,9,8,1,7,2,13,4,11,5,3,12,10,15
6,14,8,9,1,7,2,13,4,10,5,3,11,12,15
6,14,8,10,1,7,2,13,4,9,5,3,12,11,15
6,14,8,9,1,7,2,13,4,12,5,3,10,11,15
6,14,8,10,1,7,2,13,3,11,5,4,9,12,15
6,14,8,9,1,7,2,13,4,10,5,3,11,12,15
8,14,9,10,1,7,2,13,3,12,5,4,6,11,15
6,14,11,9,1,7,2,13,3,10,5,4,8,12,15
6,14,8,10,1,7,2,13,4,11,5,3,9,12,15
6,14,8,9,1,7,2,13,4,10,5,3,11,12,15
6,14,9,10,1,7,2,13,3,12,5,4,8,11,15
6,14,8,10,1,7,2,13,3,12,5,4,9,11,15
6,14,8,10,1,7,2,13,3,11,5,4,9,12,15
6,14,10,9,1,7,2,13,4,8,5,3,11,12,15
7,14,10,9,1,6,2,13,3,12,5,4,8,11,15
6,14,8,9,1,7,2,13,4,12,5,3,10,11,15
6,14,10,9,1,8,2,13,3,12,5,4,7,11,15
6,14,9,10,1,8,2,13,3,12,5,4,7,11,15
6,14,9,8,1,7,2,13,4,12,5,3,10,11,15
6,14,9,10,1,8,2,13,3,11,5,4,7,12,15
6,14,10,9,1,7,2,13,4,12,5,3,8,11,15
6,14,8,11,1,7,2,13,3,10,5,4,9,12,15
6,14,8,9,1,7,2,13,4,11,5,3,10,12,15
6,14,9,10,1,7,2,13,3,11,5,4,8,12,15
6,14,10,11,1,7,2,13,3,9,5,4,8,12,15
6,14,9,10,1,8,2,13,3,12,5,4,7,11,15
6,14,8,10,1,7,2,13,4,12,5,3,9,11,15
6,14,8,10,1,7,2,13,3,12,5,4,9,11,15
6,14,8,10,1,7,2,13,4,9,5,3,12,11,15
6,14,8,9,1,7,2,13,4,10,5,3,12,11,15
6,14,9,11,1,8,2,13,3,10,5,4,7,12,15
7,14,9,10,1,6,2,13,3,12,5,4,8,11,15
5,14,8,9,1,7,2,13,4,12,6,3,11,10,15
6,14,9,10,1,7,2,13,3,11,5,4,8,12,15
6,14,10,9,1,7,2,13,3,11,5,4,8,12,15
6,14,10,9,1,7,2,13,3,11,5,4,8,12,15
6,14,8,10,1,7,2,13,4,11,5,3,9,12,15
6,14,9,10,1,8,2,13,3,11,5,4,7,12,15
6,14,8,9,1,7,2,13,4,10,5,3,12,11,15
6,14,10,9,1,7,2,13,3,12,5,4,8,11,15
6,14,9,8,1,7,2,13,4,12,5,3,10,11,15
6,14,10,9,1,7,2,13,3,12,5,4,8,11,15
6,14,9,8,1,7,2,13,4,10,5,3,11,12,15
7,14,9,10,1,6,2,13,3,12,5,4,8,11,15
6,14,8,10,1,7,2,13,3,11,5,4,9,12,15
6,14,7,9,1,8,2,13,4,11,5,3,10,12,15
6,14,8,9,1,7,2,13,4,12,5,3,10,11,15
7,14,8,10,1,6,2,13,4,11,5,3,9,12,15
6,14,10,9,1,7,2,13,4,12,5,3,8,11,15
6,14,8,9,1,7,2,13,4,10,5,3,12,11,15
8,14,9,10,1,6,2,13,3,11,5,4,7,12,15
6,14,8,10,1,7,2,13,4,9,5,3,12,11,15
7,14,10,9,1,6,2,13,4,12,5,3,8,11,15
6,14,9,10,1,8,2,13,3,11,5,4,7,12,15
6,14,8,10,1,7,2,13,3,12,5,4,9,11,15
6,14,9,10,1,7,2,13,3,12,5,4,8,11,15
6,14,8,11,1,7,2,13,3,10,5,4,9,12,15
5,14,8,9,1,7,2,13,4,10,6,3,12,11,15
6,14,7,10,1,8,2,13,3,12,5,4,9,11,15
6,14,8,10,1,7,2,13,4,12,5,3,9,11,15
6,14,10,9,1,8,2,13,3,12,5,4,7,11,15
6,14,9,10,1,8,2,13,3,11,5,4,7,12,15
6,14,9,8,1,7,2,13,4,12,5,3,10,11,15
6,14,8,10,1,7,2,13,3,12,5,4,9,11,15
7,14,10,9,1,6,2,13,4,12,5,3,8,11,15
6,14,10,9,1,7,2,13,4,12,5,3,8,11,15
5,14,8,9,1,7,2,13,4,10,6,3,12,11,15
6,14,8,9,1,7,2,13,4,10,5,3,12,11,15
6,14,8,9,1,7,2,13,4,12,5,3,10,11,15
6,14,8,9,1,7,2,13,4,12,5,3,10,11,15
6,14,9,10,1,8,2,13,3,12,5,4,7,11,15
6,14,8,9,1,7,2,13,4,10,5,3,12,11,15
6,14,9,10,1,8,2,13,3,12,5,4,7,11,15
6,14,10,9,1,7,2,13,3,12,5,4,8,11,15
6,14,9,10,1,8,2,13,3,11,5,4,7,12,15
6,14,9,10,1,8,2,13,3,12,5,4,7,11,15
6,14,9,10,1,7,2,13,3,11,5,4,8,12,15
7,14,8,9,1,6,2,13,4,11,5,3,10,12,15
6,14,9,10,1,7,2,13,3,11,5,4,8,12,15
6,14,8,11,1,7,2,13,3,10,5,4,9,12,15
6,14,9,11,1,7,2,13,3,10,5,4,8,12,15
6,14,10,9,1,7,2,13,4,12,5,3,8,11,15
6,14,8,10,1,7,2,13,4,11,5,3,9,12,15
6,14,8,10,1,7,2,13,4,11,5,3,9,12,15
6,14,9,10,1,8,2,13,3,11,5,4,7,12,15
6,14,10,8,1,7,2,13,4,9,5,3,12,11,15
5,14,8,9,1,7,2,13,4,10,6,3,12,11,15
6,14,9,10,1,7,2,13,3,11,5,4,8,12,15
6,14,9,10,1,8,2,13,3,12,5,4,7,11,15
6,14,9,10,1,8,2,13,3,11,5,4,7,12,15
7,14,8,10,1,6,2,13,4,9,5,3,11,12,15
5,14,7,9,1,8,2,13,4,12,6,3,11,10,15
6,14,10,9,1,8,2,13,3,12,5,4,7,11,15
6,14,8,9,1,7,2,13,4,10,5,3,12,11,15
6,14,10,11,1,7,2,13,3,9,5,4,8,12,15
6,14,8,10,1,7,2,13,3,12,5,4,9,11,15
6,14,8,10,1,7,2,13,3,11,5,4,9,12,15
6,14,9,10,1,7,2,13,4,11,5,3,8,12,15
5,14,9,8,1,6,2,13,4,11,7,3,12,10,15
6,14,8,9,1,7,2,13,4,10,5,3,12,11,15
7,14,9,10,1,8,2,13,3,11,5,4,6,12,15
6,14,9,10,1,7,2,13,3,11,5,4,8,12,15
7,14,9,10,1,8,2,13,3,12,5,4,6,11,15
6,14,11,8,1,7,2,13,4,9,5,3,10,12,15
6,14,8,9,1,7,2,13,4,11,5,3,10,12,15
7,14,9,8,1,6,2,13,4,11,5,3,12,10,15
6,14,9,10,1,7,2,13,3,11,5,4,8,12,15
7,14,9,10,1,6,2,13,3,11,5,4,8,12,15
5,14,7,9,1,8,2,13,4,12,6,3,10,11,15
6,14,9,8,1,7,2,13,4,10,5,3,12,11,15
6,14,9,10,1,8,2,13,3,11,5,4,7,12,15
5,14,8,9,1,7,2,13,4,10,6,3,12,11,15
6,14,8,9,1,7,2,13,4,11,5,3,10,12,15
6,14,10,9,1,7,2,13,4,11,5,3,8,12,15
6,14,8,10,1,7,2,13,4,11,5,3,9,12,15
6,14,9,10,1,7,2,13,4,12,5,3,8,11,15
6,14,8,9,1,7,2,13,4,10,5,3,11,12,15
6,14,9,10,1,8,2,13,3,11,5,4,7,12,15
6,14,9,10,1,8,2,13,3,12,5,4,7,11,15
5,14,8,9,1,7,2,13,4,10,6,3,12,11,15
6,14,8,10,1,9,2,13,3,12,5,4,7,11,15
6,14,8,9,1,7,2,13,4,10,5,3,11,12,15
6,14,8,11,1,7,2,13,3,9,5,4,10,12,15
8,14,9,10,1,7,2,13,3,12,5,4,6,11,15
6,14,9,10,1,7,2,13,3,12,5,4,8,11,15
7,14,9,10,1,6,2,13,4,11,5,3,8,12,15
6,14,9,8,1,7,2,13,4,10,5,3,11,12,15
6,14,8,10,1,7,2,13,4,11,5,3,9,12,15
6,14,8,9,1,7,2,13,4,11,5,3,10,12,15
7,14,9,10,1,6,2,13,3,11,5,4,8,12,15
6,14,8,9,1,7,2,13,4,12,5,3,11,10,15
6,14,8,10,1,7,2,13,3,11,5,4,9,12,15
6,14,8,9,1,7,2,13,4,11,5,3,10,12,15
6,14,7,10,1,9,2,13,3,11,5,4,8,12,15
6,14,8,9,1,7,2,13,4,12,5,3,10,11,15
7,14,11,9,1,6,2,13,4,10,5,3,8,12,15
6,14,8,11,1,7,2,13,4,9,5,3,10,12,15
6,14,8,9,1,7,2,13,4,10,5,3,11,12,15
6,14,7,9,1,8,2,13,4,12,5,3,10,11,15
5,14,8,9,1,7,2,13,4,12,6,3,10,11,15
6,14,9,10,1,7,2,13,3,11,5,4,8,12,15
6,14,9,10,1,8,2,13,3,11,5,4,7,12,15
7,14,9,10,1,8,2,13,3,11,5,4,6,12,15
5,14,8,9,1,7,2,13,4,10,6,3,12,11,15
6,14,7,9,1,8,2,13,4,10,5,3,11,12,15
6,14,8,9,1,7,2,13,4,11,5,3,10,12,15
6,14,8,9,1,7,2,13,4,12,5,3,10,11,15
6,14,8,9,1,7,2,13,4,11,5,3,10,12,15
6,14,8,10,1,7,2,13,3,11,5,4,9,12,15
6,14,8,9,1,7,2,13,4,11,5,3,10,12,15
7,14,9,10,1,8,2,13,3,11,5,4,6,12,15
6,14,8,9,1,7,2,13,4,10,5,3,12,11,15
7,14,9,10,1,6,2,13,3,11,5,4,8,12,15
6,14,8,10,1,9,2,13,3,12,5,4,7,11,15
6,14,7,9,1,8,2,13,4,11,5,3,10,12,15
6,14,8,10,1,7,2,13,4,9,5,3,12,11,15
6,14,9,10,1,8,2,13,3,11,5,4,7,12,15
6,14,8,10,1,7,2,13,4,9,5,3,12,11,15
6,14,10,9,1,7,2,13,3,12,5,4,8,11,15
6,14,9,10,1,7,2,13,3,11,5,4,8,12,15
6,14,8,10,1,7,2,13,4,11,5,3,9,12,15
6,14,10,9,1,7,2,13,4,11,5,3,8,12,15
6,14,9,10,1,7,2,13,3,12,5,4,8,11,15
6,14,9,10,1,8,2,13,3,11,5,4,7,12,15
6,14,8,9,1,7,2,13,4,12,5,3,10,11,15
7,14,9,10,1,6,2,13,3,11,5,4,8,12,15
6,14,7,10,1,8,2,13,3,11,5,4,9,12,15
5,14,8,9,1,7,2,13,4,11,6,3,12,10,15
6,14,8,11,1,7,2,13,4,9,5,3,10,12,15
6,14,8,9,1,7,2,13,4,11,5,3,10,12,15
6,14,9,10,1,7,2,13,3,12,5,4,8,11,15
6,14,9,8,1,7,2,13,4,12,5,3,10,11,15
6,14,8,10,1,7,2,13,3,11,5,4,9,12,15
6,14,8,9,1,7,2,13,4,10,5,3,11,12,15
7,14,9,10,1,8,2,13,3,12,5,4,6,11,15
6,14,7,9,1,8,2,13,4,10,5,3,12,11,15
6,14,9,10,1,8,2,13,3,11,5,4,7,12,15
6,14,9,10,1,7,2,13,3,11,5,4,8,12,15
5,14,8,9,1,6,2,13,4,11,7,3,12,10,15
6,14,11,10,1,8,2,13,3,9,5,4,7,12,15
6,14,10,9,1,8,2,13,3,12,5,4,7,11,15
6,14,9,10,1,7,2,13,3,12,5,4,8,11,15
6,14,8,9,1,7,2,13,4,12,5,3,10,11,15
6,14,10,9,1,7,2,13,3,11,5,4,8,12,15
6,14,9,10,1,7,2,13,3,11,5,4,8,12,15
6,14,9,8,1,7,2,13,4,10,5,3,11,12,15
8,14,9,10,1,6,2,13,3,11,5,4,7,12,15
7,14,9,10,1,6,2,13,3,11,5,4,8,12,15
6,14,8,11,1,7,2,13,3,10,5,4,9,12,15
